name,smiles,inchikey,set
PF-477736,Cn1cc(-c2nc3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c3-c2c[nH][nH]c4=O)cn1,YFNWWNRZJGMDBR-LJQANCHMSA-N,chemical probe
BMS-911543,CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21,JCINBYQJBYJGDM-UHFFFAOYSA-N,chemical probe
GSK484,COc1cc(C(=O)N2CC[C@@H](O)[C@@H](N)C2)cc2nc(-c3cc4ccccc4n3CC3CC3)n(C)c12,BDYDINKSILYBOL-WMZHIEFXSA-N,chemical probe
MIV-6R,N#Cc1ccc(OCCCN2CCC([C@@](N)(c3ccccc3)C3CCCC3)CC2)cc1,AUWUGRCKTQSGJY-HHHXNRCGSA-N,chemical probe
AZ6102,Cc1cc(N2C[C@H](C)N[C@H](C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1,WCPTUQOMNJBIET-CALCHBBNSA-N,chemical probe
TALAZOPARIB,Cn1ncnc1[C@H]1C2=c3c(cc(F)cc3=N[C@@H]1c1ccc(F)cc1)C(=O)NN2,IUEWAGVJRJORLA-HZPDHXFCSA-N,chemical probe
2X-121,O=c1[nH][nH]c2nc(CN3Cc4ccccc4C3)nc3cccc1c32,JLFSBHQQXIAQEC-UHFFFAOYSA-N,chemical probe
JQEZ5,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)nc2c1cnn2C(C)C,LQTWDAYNGMMHLV-UHFFFAOYSA-N,chemical probe
barasertib,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,GBJVVSCPOBPEIT-UHFFFAOYSA-N,chemical probe
ML235,Oc1ccccc1/C=C/c1noc(-c2ccccc2O)n1,OUGQQERBJUGIMD-MDZDMXLPSA-N,chemical probe
ML234,O=C(Nc1nc2ccccc2s1)c1cccs1,ZMMOBGPTOLXOEW-UHFFFAOYSA-N,chemical probe
ML300,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1,OCKMJWOFMCSMEX-UHFFFAOYSA-N,chemical probe
ML303,COc1cc(-c2ccnc3c2c(C)nn3-c2ccc(C(F)(F)F)cc2)ccc1O,YBRHGNCGFMRGSV-UHFFFAOYSA-N,chemical probe
ML283,Cc1ccc2nc(-c3ccc4nc(-c5ccc(NC(=O)c6cccc(Cl)c6)cc5)sc4c3)sc2c1S(=O)(=O)O,XTZYUQOIANGEJC-UHFFFAOYSA-N,chemical probe
SAFit1,COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@H](c2cc(OC)c(OC)c(OC)c2)C2CCCCC2)c2cccc(OCC(=O)O)c2)cc1OC,OEQZPFWOEOOISR-AKTKKGGCSA-N,chemical probe
AZD3988,O=C(O)C[C@H]1CC[C@H](c2ccc(NC(=O)c3nnc(Nc4ccc(F)c(F)c4)o3)cc2)CC1,NGEBYTLALFOQKI-HDJSIYSDSA-N,chemical probe
AC710,CCN1C(C)(C)CC(Oc2ccc(C(=O)Nc3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)nc2)CC1(C)C,JVCWPUFNLFSKFS-UHFFFAOYSA-N,chemical probe
VU 0422288,O=C(Nc1ccc(Oc2ccc(Cl)cn2)c(Cl)c1)c1ccccn1,MZRLPXFGQKQHST-UHFFFAOYSA-N,chemical probe
TAK1/MAP4K2 dual inhibitor (NG25),CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(Oc4ccnc5[nH]ccc45)c3)cc2C(F)(F)F)CC1,SMPGEBOIKULBCT-UHFFFAOYSA-N,chemical probe
Aurora inhibitor (compound 1),CN1C(=O)c2ccccc2N(C)c2nc(Nc3ccc(N4CCC(O)CC4)cc3)ncc21,DFQAJLQXPSPNJE-UHFFFAOYSA-N,chemical probe
FGFR/EGFR dual inhibitor (FIIN-3),C=CC(=O)Nc1ccc(CN(C(=O)Nc2c(Cl)c(OC)cc(OC)c2Cl)c2cc(Nc3ccc(N4CCN(C)CC4)cc3)ncn2)cc1,SFLKJNSBBVSPFE-UHFFFAOYSA-N,chemical probe
JAK3i,C=CC(=O)Nc1ccc(F)c(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,KNLROUBMVYVLGX-UHFFFAOYSA-N,chemical probe
ogerin,Nc1nc(NCc2ccccc2)nc(-c2ccccc2CO)n1,MDGIEDNDSFMSLP-UHFFFAOYSA-N,chemical probe
GSK-LSD1,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,BASFYRLYJAZPPL-UONOGXRCSA-N,chemical probe
GI254023X,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccccc1)[C@H](C)N(O)C=O)C(C)(C)C,GHVMTHKJUAOZJP-CGTJXYLNSA-N,chemical probe
BTZO-1,O=c1nc(-c2ccccn2)sc2ccccc12,GBAKVEWPYUIGHN-UHFFFAOYSA-N,chemical probe
U18666A,CCN(CC)CCOC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,DMZCCFMMPHJWQY-UHFFFAOYSA-N,chemical probe
EPZ020411,CNCCN(C)Cc1c[nH]nc1-c1ccc(O[C@H]2C[C@H](OCCC3CCOCC3)C2)cc1,QMDKVNSQXPVCRD-RQNOJGIXSA-N,chemical probe
AMELUBANT,CCOC(=O)NC(=N)c1ccc(OCc2cccc(COc3ccc(C(C)(C)c4ccc(O)cc4)cc3)c2)cc1,SBVYURPQULDJTI-UHFFFAOYSA-N,chemical probe
Benzimidazolone 8,COc1ccc(Oc2cc3c(cc2NS(=O)(=O)c2ccc(OC)c(OC)c2)n(C)c(=O)n3C)cc1,KNVIUMWNYXDULF-UHFFFAOYSA-N,chemical probe
1G244,N[C@@H](CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1,ZKIQFLSGMMYCGS-SANMLTNESA-N,chemical probe
TUG-770,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)c(F)c1,KIZUBVPJNPVIIN-UHFFFAOYSA-N,chemical probe
ABL-001,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,VOVZXURTCKPRDQ-CQSZACIVSA-N,chemical probe
CCT244747,COc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1,IENLGMOXAQMNEH-CYBMUJFWSA-N,chemical probe
VU0364739,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1cccc(F)c1)c1ccc2ccccc2c1,MSTXJJGAXXJCBY-UHFFFAOYSA-N,chemical probe
GLPG-0974,C[C@]1(C(=O)N(CCCC(=O)O)Cc2cccc(Cl)c2)CCN1C(=O)c1csc2ccccc12,MPMKMQHJHDHPBE-RUZDIDTESA-N,chemical probe
GDC-0834,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,CDOOFZZILLRUQH-GDLZYMKVSA-N,chemical probe
CPI 0610,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,GCWIQUVXWZWCLE-INIZCTEOSA-N,chemical probe
GSK583,CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,XLOGLWKOHPIJLV-UHFFFAOYSA-N,chemical probe
A-192621,CCCOc1ccc([C@H]2[C@H](C(=O)O)[C@@H](c3ccc4c(c3)OCO4)CN2CC(=O)Nc2c(CC)cccc2CC)cc1,LQEHCKYYIXQEBM-FUKIBTTHSA-N,chemical probe
Englerin-A,CC(C)[C@@]12C[C@@H](OC(=O)CO)[C@@](C)(O1)[C@@H]1CC[C@@H](C)[C@H]1[C@@H]2OC(=O)/C=C/c1ccccc1,GACOFEKSDCOVMV-RRYXBOBMSA-N,chemical probe
BI-7273,COc1cc(-c2cn(C)c(=O)c3cnccc23)cc(OC)c1CN(C)C,RBUYFHLQNPJMQM-UHFFFAOYSA-N,chemical probe
D2202-1,Cc1cn(-c2cc(NC(=O)c3ccc4c(c3)CN(c3cncnc3)C[C@@H]4C)cc(C(F)(F)F)c2)cn1,CMJJZRAAQMUAFH-INIZCTEOSA-N,chemical probe
PPTN,O=C(O)c1cc(-c2ccc(C3CCNCC3)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2c1,FOECKIWHCOYYFL-UHFFFAOYSA-N,chemical probe
BI-4394,CCOC(=O)c1cc2cc(-c3cc(C(=O)NCc4ccc(C(=O)O)cc4)nn3C)ccc2[nH]1,MMJPVSDTLGFIQW-UHFFFAOYSA-N,chemical probe
BIIE0246,NC(N)=NCCC[C@H](NC(=O)CC1(CC(=O)N2CCN(C3c4ccccc4NC(=O)c4ccccc43)CC2)CCCC1)C(=O)NCCn1c(=O)n(-c2ccccc2)n(-c2ccccc2)c1=O,RSJAXPUYVJKAAA-JPGJPTAESA-N,chemical probe
SB-612111,Cc1cccc2c1CC[C@H](CN1CCC(c3c(Cl)cccc3Cl)CC1)C[C@@H]2O,OHRDCQFCAWLDBP-SBUREZEXSA-N,chemical probe
BEPAFANT,Cc1nnc2n1-c1sc3c(c1C(c1ccccc1Cl)=NC2)CC(C(=O)N1CCOCC1)C3,FWYVRZOREBYLCY-UHFFFAOYSA-N,chemical probe
SR9238,CCOC(=O)c1ccc(CN(Cc2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)S(=O)(=O)c2c(C)cc(C)cc2C)o1,HDZWHJYZJWLTAG-UHFFFAOYSA-N,chemical probe
AMG-837,CC#C[C@@H](CC(=O)O)c1ccc(OCc2cccc(-c3ccc(C(F)(F)F)cc3)c2)cc1,ZOPNBMMVVZRSGH-NRFANRHFSA-N,chemical probe
eCF506,COc1cc(-c2nn(CCN3CCC(N(C)C)CC3)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,GMPQGWXPDRNCBL-UHFFFAOYSA-N,chemical probe
RELACATIB,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CC[C@@H](C)N(S(=O)(=O)c2ccccn2)CC1=O,BWYBBMQLUKXECQ-GIVPXCGWSA-N,chemical probe
ML155,O=S(=O)(c1ccc2ccccc2c1)N1CCN(c2nc(-c3cccs3)nc3ccccc23)CC1,WQARUVRGOHJYJX-UHFFFAOYSA-N,chemical probe
NVS-PAK1-1,CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,OINGHOPGNMYCAB-INIZCTEOSA-N,chemical probe
BAY-299,Cc1cc2c(cc1N1C(=O)c3cccc4c(CCCO)ccc(c34)C1=O)n(C)c(=O)n2C,OFWWWKWUCDUISA-UHFFFAOYSA-N,chemical probe
T-26c,COc1cccc(CNC(=O)c2nc3scc(COCc4ccc(C(=O)O)cc4)c3c(=O)[nH]2)c1,CDQRIIUMNLMHRH-UHFFFAOYSA-N,chemical probe
TP-064,CNCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1,VUIITYLFSAXKIQ-UHFFFAOYSA-N,chemical probe
TP-472,CC(=O)c1cc(-c2cc(C(=O)NC3CC3)ccc2C)c2ncccn12,RPBMXJHQYJLPDN-UHFFFAOYSA-N,chemical probe
A-395,CN(C)[C@H]1CN(C2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1,REVJNSVNICWODC-KIDMSAQOSA-N,chemical probe
LLY-283,Nc1ncnc2c1ccn2[C@@H]1O[C@H]([C@H](O)c2ccccc2)[C@@H](O)[C@H]1O,WWOOWAHTEXIWBO-QFRSUPTLSA-N,chemical probe
AZ0108,C[C@H]1Cn2c(nnc2C(C)(F)F)CN1C(=O)c1cccc(C(F)(F)c2n[nH]c(=O)c3ccccc23)c1,NWGMIELHSCQGOG-ZDUSSCGKSA-N,chemical probe
AX15836,CCOc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(S(C)(=O)=O)c1ccccc1C(=O)N2C,HTFNVAVTYILUCF-UHFFFAOYSA-N,chemical probe
MZ1,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1,PTAMRJLIOCHJMQ-PYNGZGNASA-N,chemical probe
biBET,COc1nnc2ccc(N(C)CCOc3ccc(C4CCN(c5ccc6nnc(OC)n6n5)CC4)cc3)nn12,LQHDIGAYVSAVRJ-UHFFFAOYSA-N,chemical probe
CCT251236,Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)cc1NC(=O)c1ccc2nc(OCCN3CCCC3)ccc2c1,KLHOCHQJHXNKAS-UHFFFAOYSA-N,chemical probe
GSK8814,CO[C@H]1CNC[C@@H](OCC2CCC(F)(F)CC2)[C@@H]1Nc1ncc(-c2cncc(C)c2)c2cc(C)c(=O)[nH]c12,YDPMMWAOCCOULO-JBRSBNLGSA-N,chemical probe
GSK6853,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCNC[C@H]1C)n(C)c(=O)n2C,FQWDVNSBYDXPIO-CQSZACIVSA-N,chemical probe
UNC3866,CCN(CC)CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(C(C)(C)C)cc1)C(=O)N[C@@H](CO)C(=O)OC,UMRRDXVUROEIKJ-JCXBGQGISA-N,chemical probe
ML385,Cc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)Cc4ccc5c(c4)OCO5)sc3C)ccc21,LINHYWKZVCNAMQ-UHFFFAOYSA-N,chemical probe
NMS-P118,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCN(C3CCC(F)(F)CC3)CC1)C2,ARYVAQSYRLZVQD-UHFFFAOYSA-N,chemical probe
BAY-678,CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N[C@@H]1c1ccc(C#N)nc1,PGIVGIFOWOVINL-GOSISDBHSA-N,chemical probe
CPI-1205,COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCN(CC(F)(F)F)CC2)c2ccccc12,HPODOLXTMDHLLC-QGZVFWFLSA-N,chemical probe
empesertib,COc1cc(S(C)(=O)=O)ccc1Nc1nc2ccc(-c3ccc(NC(=O)[C@H](C)c4ccc(F)cc4)cc3)cn2n1,NRJKIOCCERLIDG-GOSISDBHSA-N,chemical probe
Rapamune,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)C=C(C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)C=CC=CC=C1C,QFJCIRLUMZQUOT-GZKNZQCBSA-N,chemical probe
SRPKIN-1,CCc1cc2c(cc1-c1cccc(S(=O)(=O)F)c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,TWKWEBMGDALHPN-UHFFFAOYSA-N,chemical probe
RU.521,Cc1nn(-c2nc3ccc(Cl)c(Cl)c3[nH]2)c(O)c1C1OC(=O)c2ccccc21,VIQXILLOJLATEF-UHFFFAOYSA-N,chemical probe
SS-208,O=C(NCCc1cc(C(=O)NO)no1)c1ccc(Cl)c(Cl)c1,JFGOILLZIAIYGA-UHFFFAOYSA-N,chemical probe
AMG-337,C=C1c2cc(OCCOC)cnc2C=CN1C(C)c1nnc2c(F)cc(-c3cnn(C)c3)cn12,WKIALOXOAZXGMG-UHFFFAOYSA-N,chemical probe
FM-381,CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,GJMZWYLOARVASY-NTCAYCPXSA-N,chemical probe
L-Moses,Cc1nnc2c3ccccc3c(N[C@@H](C)[C@H](c3ccccc3)N(C)C)nn12,MSFPLTWUFWOKBX-IFXJQAMLSA-N,chemical probe
2-MT 63,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,HHKGVQGXRGQBBA-UHFFFAOYSA-N,chemical probe
GSK4027,CN1C[C@H](Nc2cnn(C)c(=O)c2Br)C[C@H](c2ccccc2)C1,VZAFGXCWAWRULT-UONOGXRCSA-N,chemical probe
EED226,CS(=O)(=O)c1ccc(-c2cnc(NCc3ccco3)n3cnnc23)cc1,DYIRSNMPIZZNBK-UHFFFAOYSA-N,chemical probe
A-1155463,CN(C)CC#Cc1ccc(OCCCc2sc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)c(F)c1,SOYCFODXNRVBTI-UHFFFAOYSA-N,chemical probe
ACY-738,O=C(NO)c1cnc(NC2(c3ccccc3)CC2)nc1,LIIWIMDSZVNYHY-UHFFFAOYSA-N,chemical probe
tomivosertib,Cc1cc(Nc2cc(N)ncn2)c(=O)n2c1C(=O)NC21CCCCC1,HKTBYUWLRDZAJK-UHFFFAOYSA-N,chemical probe
ML352,COc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1OC1CCN(C)CC1,WBLVOWHFRUAMCP-UHFFFAOYSA-N,chemical probe
AZD-9496,C[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,DFBDRVGWBHBJNR-BBNFHIFMSA-N,chemical probe
DDD85646,Cc1nn(C)c(C)c1NS(=O)(=O)c1c(Cl)cc(-c2ccnc(N3CCNCC3)c2)cc1Cl,XMBSZPZJLPTFMV-UHFFFAOYSA-N,chemical probe
S63845,Cc1c(-c2c(-c3ccc(F)o3)sc3ncnc(O[C@H](Cc4ccccc4OCc4ccnn4CC(F)(F)F)C(=O)O)c23)ccc(OCCN2CCN(C)CC2)c1Cl,ZFBHXVOCZBPADE-SSEXGKCCSA-N,chemical probe
GPR40ant39,CC1(C#N)CN(c2cc(COc3ccc(F)c(F)c3F)nc(-c3ccccn3)n2)C1,QKPUKWQKXUUTOK-UHFFFAOYSA-N,chemical probe
CPI-637,C[C@@H]1CC(=O)Nc2cccc(-c3ccc4c(c3)c(-c3cnn(C)c3)nn4C)c2N1,BFTKDWYIRJGJCA-CYBMUJFWSA-N,chemical probe
BAY1217389 ,COc1ccc(Oc2cc(NCCC(F)(F)F)c3ncc(-c4ccc(C(=O)NC5CC5)c(C)c4)n3n2)c(F)c1F,WNEILUNVMHVMPH-UHFFFAOYSA-N,chemical probe
VH298,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,NDVQUNZCNAMROD-RZUBCFFCSA-N,chemical probe
ML364,Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1,QZUGMNXETPARLI-UHFFFAOYSA-N,chemical probe
(R)-ZINC-3573,CN(C)[C@@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,XKBSPAZCFAIBJL-OAHLLOKOSA-N,chemical probe
GSK2982772,CN1C(=O)[C@@H](NC(=O)c2n[nH]c(Cc3ccccc3)n2)COc2ccccc21,LYPAFUINURXJSG-AWEZNQCLSA-N,chemical probe
RO5353,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)sc32)[C@H]1c1cccc(Cl)c1F,UOVSZRTTWLJPHE-HNXAPSNLSA-N,chemical probe
RO2468,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)ncc32)[C@H]1c1cccc(Cl)c1F,CGCOPBXAGSCZNX-FNQJWKMRSA-N,chemical probe
KI-696,COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,ZDNGJXBUEQNFBQ-GCJKJVERSA-N,chemical probe
AM-6761,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2ncc(CC(=O)O)s2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)c(F)c1,HNLHOKSDTBAERS-CWIPYCOQSA-N,chemical probe
MAVATREP,CC(C)(O)c1ccccc1-c1ccc2nc(/C=C/c3ccc(C(F)(F)F)cc3)[nH]c2c1,ORDHXXHTBUZRCN-NTEUORMPSA-N,chemical probe
JNJ-42396302,COCCc1ccc(-c2c(C)nc3c(N4CCOCC4)ccnn23)cn1,BPLVDYJDAVYLRQ-UHFFFAOYSA-N,chemical probe
G-5555,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](N)CO3)c2n1,ZBCMHWUFWQFPLV-VVOJOOEHSA-N,chemical probe
ELEUTHEROBIN,CO[C@]12C=C[C@](C)(O1)[C@@H](OC(=O)/C=C/c1cn(C)cn1)C[C@H]1C(C)=CC[C@H](C(C)C)[C@H]1/C=C\2CO[C@@H]1OC[C@@H](O)[C@@H](O)[C@@H]1OC(C)=O,XOPYFXBZMVTEJF-PDACKIITSA-N,chemical probe
KZR-504,C[C@]1(C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)c2cccc(=O)[nH]2)CO1,QYDASSGXBXGRBS-CKJXQJPGSA-N,chemical probe
TTT20171,CCCCCCCCCCCCC(=O)c1c(O)c(OC)c(OC)[nH]c1=O,CZKPAGLXQOQNEI-UHFFFAOYSA-N,chemical probe
Cotransin,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)OC(=O)[C@H](C)N(C)C1=O,LTYNXERAWVCPAH-OHRKNAERSA-N,chemical probe
NI-42,[C-]#[N+]c1ccc(S(=O)(=O)Nc2ccc3c(c2)cc(C)c(=O)n3C)cc1,ZLTQCDRXWXUYHJ-UHFFFAOYSA-N,chemical probe
SKI-73,COc1ccc(CCNC(=O)[C@H](CC[C@H](CNCc2ccccc2)C[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)NC(=O)CC(C)(C)C2=C(C)C(=O)C(C)=C(C)C2=O)cc1,HZHUKQLWLNDVDZ-IBDVCRJISA-N,chemical probe
BAY-850,COc1cc(Cl)c(C(=O)N[C@@H](CN[C@H]2CC[C@@H](N)CC2)Cc2ccc(C#N)cc2)cc1-c1ccc(CN[C@H](C)c2ccc(C)cc2)o1,BSISGUIVBKDTQO-QIKYYPRYSA-N,chemical probe
BAY-876,Cc1c(NC(=O)c2cc(C(N)=O)nc3cc(F)ccc23)c(C(F)(F)F)nn1Cc1ccc(C#N)cc1,BKLJDIJJOOQUFG-UHFFFAOYSA-N,chemical probe
A-1331852,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,QCQQONWEDCOTBV-UHFFFAOYSA-N,chemical probe
PT-2385,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2,ONBSHRSJOPSEGS-INIZCTEOSA-N,chemical probe
MK-8033,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,VMJFTOSOFDEKTM-UHFFFAOYSA-N,chemical probe
BI 224436,Cc1nc2ccccc2c(-c2ccc3c4c(ccnc24)CCO3)c1[C@H](OC(C)(C)C)C(=O)O,MIXIIJCBELCMCZ-VWLOTQADSA-N,chemical probe
MLi-2,C[C@H]1CN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C[C@@H](C)O1,ATUUNJCZCOMUKD-OKILXGFUSA-N,chemical probe
A-485,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,VRVJKILQRBSEAG-LFPIHBKWSA-N,chemical probe
XMD8-87,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2,LGLHCXISMKHLIK-UHFFFAOYSA-N,chemical probe
AM-5262,COc1ccc(F)c(-c2ccc(COc3ccc4c(c3)[C@]3(CC4)C[C@H]3C(=O)O)cc2[C@@H]2CCCC2(C)C)c1,XPLWBHWPOUEOSJ-GSZYCOFVSA-N,chemical probe
BI-6901,CC1CCN(C(=O)[C@@H](CCn2cccc2C#N)NS(=O)(=O)c2cccc3[nH]ccc23)CC1,BRJXJOWXAFLRTE-OAQYLSRUSA-N,chemical probe
BI-1935,CCOCCn1cc(C(=O)Nc2ccc(-n3nc(-c4cccnc4)cc3C(F)(F)F)cn2)ccc1=O,KMESAVNRPDKZCQ-UHFFFAOYSA-N,chemical probe
BI 653048,CCS(=O)(=O)c1cc2cc(C[C@](O)(CC(C)(C)c3ccc(F)cc3C(N)=O)C(F)(F)F)[nH]c2cn1,AUIFRJWXYUNPPV-QFIPXVFZSA-N,chemical probe
BI-1950,C[C@H](NC(=O)c1cnc2n1[C@](C)(Cc1ccc(C#N)cc1)C(=O)N2c1cc(Cl)c(F)c(Cl)c1)C(=O)NC1(c2ccccn2)CC1,JZTTUZXIQIRVAB-FZEVHQGJSA-N,chemical probe
TP-021,O=C1CCc2cc(Nc3cc(OC4CCOCC4)c([N+](=O)[O-])cc3Cl)ccc2N1,RRELDGDKULRRDM-UHFFFAOYSA-N,chemical probe
25CN-NBOH,COc1cc(CCNCc2ccccc2O)c(OC)cc1C#N,VWEDZTZAXHMZIL-UHFFFAOYSA-N,chemical probe
BAY-549,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,NRSGWEVTVGZDFC-UHFFFAOYSA-N,chemical probe
BI-9627,CC(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,QMHRLXNEGYTSRV-UHFFFAOYSA-N,chemical probe
CID-25010775,CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2C)CC1,ZBSSIYGXZQZYDM-UHFFFAOYSA-N,chemical probe
FIIN-1,C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1,DNVFTXQYIYFQBW-UHFFFAOYSA-N,chemical probe
PFI-5,Cc1cc2c(ncn2C2(C)CN(C(=O)c3ccn(CC4CCN([C@H]5C=CCCCC5)CC4)c3)C2)c(N)n1,AVKAVKZKOFSSMY-DEOSSOPVSA-N,chemical probe
ABT-724,c1ccc(N2CCN(Cc3nc4ccccc4[nH]3)CC2)nc1,FRPJGTNLZNXQEX-UHFFFAOYSA-N,chemical probe
U18666A,CCN(CC)CCO[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,DMZCCFMMPHJWQY-BKWLFHPQSA-N,chemical probe
